Blog	four	here	want	how	re	than	best	never	and	much	life	things	had	has	right	old	people	for	time	team	love	working	such	data	so	years	internet	one	say	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	full	more	its	always	really	number	also	into	set	see	last	let	great	d	be	by	up	us	video	next	this	high	doing	could	should	ve	site	off	does	monday	work	after	then	them	they	another	just	do	we	com	the	night	post	months	way	was	live	can	still	not	now	year	care	that	online	only	between	these	media	real	read	early	using	t	business	your	lot	you	very	a	help	actually	since	pretty	during	x	probably	both	look	while	game	some	doesn	e	go	need	she	i	well	twitter	home	he	even	new	tell	before	better	don	m	bad	said	appeared	three	is	it	in	if	make	down	me	did	making	may	man	talk	thing	think	first	long	little	were	especially	show	get	according	those	same	money	again	public	two	through	hard	most	find	big	bit	back	ll	day	have	taking	like	about	but	under	would	my	times	over	each	got	free	days	top	too	took	news	been	donald	no	when	company	says	today	trump	any	come	good	week	blog	on	of	or	there	all	what	might	story	his	him	are	because	once	use	from	few	something	our	out	their	which	who	why	will	other	know	own	made
Anonymous	1	0	0	2	1	0	1	0	23	3	0	0	1	1	0	0	2	10	1	1	0	0	1	0	2	0	0	3	2	1	0	1	2	27	0	1	0	1	3	8	3	7	3	25	0	0	1	1	0	3	0	1	1	0	1	2	0	2	0	4	1	3	0	1	0	5	1	0	2	2	0	0	0	0	4	0	3	1	3	9	0	2	1	1	0	60	0	1	0	1	11	0	2	3	6	1	1	0	19	0	1	0	0	11	0	0	0	0	6	0	0	1	5	0	21	0	0	0	0	3	0	0	1	1	0	0	1	1	4	0	0	4	2	1	0	0	9	0	5	0	0	0	3	1	0	1	1	1	6	15	10	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	1	0	2	1	0	0	1	0	0	0	0	1	0	4	3	0	4	9	0	0	0	0	3	4	0	0	0	0	1	1	0	9	1	4	0	7	0	0	0	8	1	0	3	1	0	16	24	0	1	5	2	0	2	5	1	6	8	1	0	7	0	1	0	6	2	4	2	4	0	0	1	0	2
Schneier on Security	0	0	0	0	2	0	0	0	7	1	0	0	0	2	0	0	0	4	1	1	0	0	0	1	0	1	0	0	0	1	0	0	2	9	0	0	0	0	0	2	2	0	2	7	0	0	2	2	0	0	0	0	0	1	0	2	0	0	0	1	1	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	2	3	1	0	0	1	0	26	0	0	0	0	1	0	1	0	1	2	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	7	5	11	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	5	2	0	0	0	0	2	0	1	1	0	10	10	1	3	1	1	0	0	0	0	1	1	0	1	2	1	0	1	0	2	3	1	0	1	0	0	0	1
Search Engine Roundtable	0	3	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	7	1	0	0	0	0	2	2	0	0	0	0	0	1	0	0	2	0	1	0	0	0	2	0	3	1	5	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	3	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	0	2	5	0	27	0	0	0	1	2	0	1	0	4	2	1	0	6	0	0	1	0	0	0	0	0	0	1	4	1	0	4	0	9	1	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	1	3	0	2	1	0	0	0	0	1	0	0	6	0	0	5	2	9	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	2	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	3	0	0	0	0	2	0	11	13	3	3	1	3	0	0	0	0	7	0	0	0	6	0	0	0	0	1	0	0	0	1	2	1	0	0
Copyblogger	0	2	1	9	4	0	0	0	20	0	0	0	0	1	1	0	1	10	0	0	2	1	0	0	3	0	0	1	3	0	0	0	1	5	0	0	2	3	0	10	3	2	1	32	0	1	11	0	2	0	0	2	1	0	0	0	0	0	3	5	2	3	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	10	0	41	0	10	0	2	1	0	1	0	2	1	1	0	13	0	2	0	1	0	4	10	0	0	0	5	14	0	8	0	19	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0	0	0	0	0	10	0	7	5	8	0	2	1	1	0	0	0	0	0	0	0	10	1	0	1	0	1	2	0	0	0	3	0	0	0	0	1	1	0	1	0	1	0	3	1	0	8	0	3	0	2	2	0	0	1	0	3	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	4	1	17	12	0	0	3	4	0	0	0	0	4	1	0	0	1	1	0	11	6	0	1	3	1	0	2	0	0	0
PerezHilton	0	0	1	0	2	0	0	0	9	2	0	0	1	6	0	1	0	7	1	0	0	0	0	0	2	1	0	1	0	0	3	3	0	15	0	2	0	4	10	5	2	4	4	20	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	3	0	0	1	1	0	2	0	0	0	1	1	0	1	0	4	0	1	0	0	0	0	2	0	3	0	34	2	0	0	1	10	2	0	0	5	1	2	0	4	0	1	0	0	0	4	0	1	1	1	0	0	2	2	1	12	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	6	0	2	1	1	5	0	1	1	1	0	0	0	0	0	0	0	13	2	8	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	4	2	1	1	1	3	3	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	2	1	0	0	11	13	0	2	1	3	1	0	4	0	1	1	0	0	3	0	0	1	2	0	1	3	0	1	0	1	0	0
Engadget RSS Feed	1	0	0	0	7	3	1	0	24	0	1	1	2	7	2	0	1	17	4	3	0	1	0	2	2	0	2	5	0	1	1	1	2	24	0	0	3	2	0	8	5	1	7	47	0	0	3	5	1	2	1	0	2	0	0	1	0	0	0	7	3	3	1	1	2	3	0	0	3	0	0	0	0	1	0	1	2	0	0	6	1	6	1	4	0	56	0	0	1	0	1	2	5	3	3	4	1	0	19	0	1	0	0	0	1	1	2	0	16	0	5	2	19	0	40	0	0	0	1	0	1	1	3	0	3	11	6	0	2	6	3	0	2	0	0	1	0	1	9	0	0	1	3	0	1	0	0	0	15	17	13	4	5	2	0	0	0	3	5	0	0	0	3	0	1	2	0	0	2	0	2	0	1	1	0	0	1	0	1	0	2	0	5	0	8	7	2	4	2	6	2	2	0	0	1	0	0	0	1	0	1	0	0	0	0	6	2	5	0	5	0	3	0	1	3	0	9	15	5	4	2	1	1	0	0	0	4	1	0	2	2	2	3	0	6	2	2	2	1	6	2	2	1	1
ThinkProgress - Medium	0	5	6	16	14	7	1	3	263	13	4	11	17	51	9	8	38	99	13	5	4	7	5	0	16	10	0	21	10	8	15	27	8	163	0	7	10	5	40	65	20	56	35	292	4	2	40	9	2	11	7	16	14	3	7	12	4	1	4	44	41	13	5	5	1	64	4	2	14	7	3	2	5	9	7	6	13	8	14	36	5	21	17	28	3	478	3	5	2	11	76	3	19	12	53	13	14	9	157	0	15	3	18	3	3	12	4	0	49	1	1	9	34	26	263	11	4	4	1	6	6	4	8	4	5	1	8	8	0	5	3	61	63	5	1	4	38	13	10	3	9	1	12	9	3	26	0	2	101	116	167	23	8	8	10	7	4	14	2	4	3	14	13	3	10	20	6	22	14	9	9	10	4	3	6	15	10	4	8	1	3	2	12	6	4	58	4	35	23	46	2	35	6	1	10	3	3	1	4	1	2	3	3	29	10	19	30	0	10	5	51	6	10	5	4	0	105	232	34	8	24	40	5	35	43	15	73	21	4	3	41	1	6	14	21	35	27	43	14	26	17	12	6	8
ProBlogger	52	172	289	393	317	73	33	17	1171	96	38	227	93	80	63	17	310	740	289	3	53	33	7	2	156	72	8	338	62	95	184	183	88	927	19	29	55	21	17	387	201	506	261	3000	5	51	245	15	15	327	90	136	130	27	99	114	29	98	52	466	125	227	100	69	83	606	6	110	153	103	318	24	35	51	12	75	37	148	237	428	89	264	509	409	42	2151	5	635	58	97	270	63	439	40	166	95	64	4	2147	39	36	5	92	59	11	54	16	65	266	32	819	113	2190	102	2072	80	93	13	27	5	4	68	21	85	36	1	412	41	2	155	128	29	1657	263	25	11	57	58	183	68	55	26	127	143	2	38	36	51	766	1288	1014	386	114	39	108	112	47	95	1	44	115	142	113	83	137	77	2	99	277	2	223	27	57	91	3	70	79	17	112	116	32	171	194	143	103	389	12	144	344	279	2	142	321	38	197	72	127	30	94	12	39	9	7	134	1	29	159	0	3	285	2	57	99	90	109	434	855	1940	423	354	198	364	247	108	12	12	463	151	36	107	212	89	178	169	186	92	67	85	47	154	191	121	44	13
mezzoblue	0	1	0	2	1	0	0	0	3	1	0	0	0	1	1	1	0	2	0	0	0	1	0	0	1	2	1	2	0	1	1	1	0	7	0	0	0	0	0	4	2	3	0	10	3	0	0	1	0	0	2	1	1	1	0	1	1	0	1	1	0	0	0	1	0	3	0	1	0	2	5	2	1	1	0	1	0	0	2	0	0	1	0	0	0	17	0	0	1	3	2	0	1	1	2	1	0	0	8	0	0	0	1	0	0	0	0	0	4	0	0	1	6	0	16	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	13	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	7	2	2	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	5	0	0	3	0	3	0	1	2	0	0	1	0	1	3	0	0	2	0	0	2	0	1	1	0	1	0	5	10	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	2	0	1	0	0	0	0	0	1	0
ShoeMoney	0	22	1	1	1	2	4	1	76	4	5	1	3	15	0	1	4	25	7	2	1	1	3	0	13	14	4	10	4	2	4	3	2	20	1	3	2	1	2	29	6	19	7	70	0	0	6	2	1	4	0	6	2	0	2	0	0	6	1	1	5	3	20	1	2	14	0	2	1	1	1	0	1	0	1	4	2	2	1	9	1	5	4	13	2	89	1	2	1	1	12	27	8	0	6	4	4	2	12	0	3	0	1	5	1	2	0	0	10	2	2	5	21	3	59	1	3	3	3	1	0	1	0	1	4	1	5	0	0	9	0	4	61	7	0	0	20	3	4	2	2	0	7	1	1	1	0	1	35	16	26	3	3	1	7	0	1	0	0	1	0	1	10	0	0	3	0	38	5	0	0	2	3	1	2	0	2	2	2	2	3	2	2	0	2	41	1	2	13	9	0	5	18	2	6	4	4	0	1	2	0	3	1	12	0	2	8	4	0	22	0	2	15	1	0	1	37	38	2	4	4	6	0	0	5	8	7	1	3	0	6	5	3	5	7	8	1	1	2	1	6	4	0	0
